Brand|Name|Accords|Notes|Gender|Longevity|Sillage|Rating|Season ratings|Day ratings|Designers|Description|Image URL
Gucci|Guilty Absolute Pour Femme Edp|['woody', 'fruity', 'rose', 'aromatic', 'patchouli', 'sweet', 'fresh spicy', 'earthy']|{'Top Notes': ['Blackberry', 'Pink Pepper', 'Bergamot'], 'Middle Notes': ['Cypress', 'Bulgarian Rose', 'Woody Notes', 'Vetiver'], 'Base Notes': ['Indian Patchouli', 'Amber']}|for women and men|3.31|2.38|{'rating': 3.99, 'votes': 3080}|Winter: 75.8018%, Spring: 61.3217%, Summer: 29.932%, Fall: 100%|Day: 72.7891%, Night: 78.7172%|['Alberto Morillas']|"Gucci Guilty Absolute Pour Femme by Gucci is a Chypre Fruity fragrance for women. Gucci Guilty Absolute Pour Femme was launched in 2018. The nose behind this fragrance is Alberto Morillas. Top notes are Blackberry, Pink Pepper and Bergamot; middle notes are Cypress, Bulgarian Rose, Woody Notes and Vetiver; base notes are Indian Patchouli and Amber. After the masculine edition of Gucci Guilty Absolute from the beginning of 2017, Gucci expands its Gucci Guilty perfume collection with the new women's fragrance Gucci Guilty Absolute pour Femme, which comes out in early 2018. The fragrance was born from the collaboration between creative director of Gucci fashion house Alessandro Michele and perfumer Alberto Morillas. ""I wanted a blackberry note that would make you dream upon smelling it. It’s magical and it’s connected to nature, as well as to emotion. There is romance in this perfume, an aura of pure, free love"", ALESSANDRO MICHELE. ""Gucci Guilty Absolute Pour Femme is created using a particular blend with a structure that remains unchanged from the first time it is applied to the skin. Goldenwood is complemented with a mysterious note of blackberry, creating a non-traditional chypre fruity fragrance for a contemporary woman. The fragrance’s composition is intensified with patchouli oils and Bulgarian rose."" The new composition merges berries, flowers and chypre notes to create a more intense and sensual interpretation of Gucci Guilty fragrance from 2010. Like the men’s Absolute edition, Absolute pour Femme blends notes of Goldenwood® with natural extracts of Nootka Cypress. It includes note of aromatic plant with bitter citrusy scent called Monarda didyma. It is available as a 30, 50 and 90 ml Eau de Parfum."|https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000572.jpg
Salvatore Ferragamo|Signorina Eleganza Woman Edp|['fruity', 'patchouli', 'floral', 'sweet', 'leather', 'woody', 'citrus', 'almond', 'warm spicy', 'aquatic']|{'Top Notes': ['Pear', 'Grapefruit'], 'Middle Notes': ['Osmanthus', 'Almond'], 'Base Notes': ['Patchouli', 'Leather']}|for women and men|3.10|2.23|{'rating': 3.91, 'votes': 1500}|Winter: 38.3197%, Spring: 85.6557%, Summer: 42.8279%, Fall: 81.5574%|Day: 100%, Night: 35.8607%|['Sophie Labbé']|"Signorina Eleganza by Salvatore Ferragamo is a Chypre Floral fragrance for women. Signorina Eleganza was launched in 2014. The nose behind this fragrance is Sophie Labbe. Top notes are Pear and Grapefruit; middle notes are Osmanthus and Almond; base notes are Patchouli and Leather. Elegance has always been a defining element of Salvatore Ferragamo creations. Full of grace and refinement, they are further enhanced by the impeccable taste for which the Florentine brand is famous worldwide. In tribute to this sophistication, Salvatore Ferragamo presents Signorina Eleganza, a luxurious fragrance that celebrates feminine grace and seduction. The fresh head notes of grapefruit and pear are a vivacious and stimulating introduction. Almond powder and golden osmanthus petals create a delicate yet intense heart, adding a touch of indulgent luxury. The base notes of patchouli and white leather create a dry-down effect that leaves a luscious, lingering scent on the skin. The packaging of Signorina Eleganza in a nude beige palette conveys a delicate and refined charm. The Eleganza logo in embossed gold adds an extra touch of excellence. The precious golden base engraved with the logo in relief gives. the bottle a magnificent appearance while the famous gros grain. Vara bow comes in two shades of beige. Salvatore Ferragamo celebrates chic young women creating a unique style signature of timeless modernity, creativity and a hint of audacity. A girl playing with her different characters: sophisticated and cheeky, like Signorina Eau de Parfum, elegant and seductive like Signorina Eleganza and unpredictably mysterious like. Signorina Misteriosa ...because Signorina is a different Signorina every day. “My life is a play” is her credo: Grace Hartzel perfectly embodies the three personalities of Signorina deciding when and how to let the play start, but always remaining the same person. #mylifeisaplay Signorina Eleganza is available in three sizes: 30, 50 and 100ml EDP. Perfumer is Sophie Labbe from IFF."|https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/e/l/eleganza100ml-.jpg
Salvatore Ferragamo|Amo Ferragamo Per Lei Woman Edp|['fruity', 'floral', 'sweet', 'woody', 'musky', 'powdery', 'aquatic', 'citrus', 'fresh']|{'Top Notes': ['Pear', 'Raspberry'], 'Middle Notes': ['Magnolia', 'Osmanthus'], 'Base Notes': ['Musk', 'Cedar', 'Sandalwood']}|for women and men|2.99|2.28|{'rating': 3.67, 'votes': 248}|Winter: 22.8571%, Spring: 92.381%, Summer: 75.2381%, Fall: 35.2381%|Day: 100%, Night: 26.6667%|['Marie Salamagne', 'Olivier Cresp']|"Amo Ferragamo Per Lei by Salvatore Ferragamo is a Floral Woody Musk fragrance for women. Amo Ferragamo Per Lei was launched in 2020. Amo Ferragamo Per Lei was created by Marie Salamagne and Olivier Cresp. Top notes are Pear and Raspberry; middle notes are Magnolia and Osmanthus; base notes are Musk, Cedar and Sandalwood. ""Amo Ferragamo Per Lei, a new creation of Salvatore Ferragamo, is a sensual and extremely sweet bouquet, with a long and persistent trail.  The composition was created by Marie Salamagne in collaboration with Olivier Cresp. Amo Ferragamo Per Lei is not Marie Salamagne's first project for Salvatore Ferragamo. The young perfumer participated in the creation of the Amo Ferragamo bouquet (original) in 2018. Salvatore Ferragamo’s new fragrance AMO FERRAGAMO PER LEI, an ode to happiness, harmony and self-care encapsulated in an enchanting accord of fresh, transparent notes, makes its debut as the latest olfactory chapter in the AMO FERRAGAMO story. Under initial chords we find a soft ""cushion"" made of osmanthus and magnolia. The opulence of white flowers and the softness of magnolia collect the notes of the bouquet in a single harmonious and refined composition. In the base we find woody accords decorated with musky tones."" - a note from the brand."|https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/a/m/amo_ferragamo_per_lei_woman_edp_c.jpg
Gucci|Flora Gorgeous Gardenia Woman Edp|['white floral', 'floral', 'sweet', 'fruity', 'patchouli', 'lactonic', 'fresh', 'citrus', 'woody']|{'Top Notes': ['Pear Blossom', 'Red Berries', 'Italian Mandarin'], 'Middle Notes': ['Gardenia', 'Jasmine', 'Frangipani'], 'Base Notes': ['Brown sugar', 'Patchouli']}|for women and men|2.62|1.75|{'rating': 3.92, 'votes': 4540}|Winter: 18.1347%, Spring: 100%, Summer: 77.513%, Fall: 33.886%|Day: 93.4197%, Night: 22.1244%|['Honorine Blanc']|Flora Gorgeous Gardenia by Gucci is a Floral fragrance for women. Flora Gorgeous Gardenia was launched in 2021. The nose behind this fragrance is Honorine Blanc. Top notes are Pear Blossom, Red Berries and Italian Mandarin; middle notes are Gardenia, Jasmine and Frangipani; base notes are Brown sugar and Patchouli. Gucci Flora Gorgeous Gardenia relaunches with a new Eau de Parfum revealing a more highly concentrated expression of the original Eau de Toilette. A joyful floral signature, the scent is built around the Gardenia flower, admired since the dawn of time for its splendour and said to be used in elixirs and magical potions. Taking inspiration from this legend and the idea of its mystical power, the gorgeous White Gardenia note is blended with solar Jasmine Grandiflorum Absolute. The modern floral signature is introduced by a cheerful Pear Blossom accord which encourages wearers to burst with joy, while a touch of Brown Sugar accord adds a delicate sweetness to its sillage.|https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000491.jpg
Burberry|Her Edt|['fruity', 'fresh', 'sweet', 'floral', 'white floral', 'rose', 'musky', 'woody']|{'Top Notes': ['Pear', 'Strawberry', 'Black Currant', 'Pink Pepper'], 'Middle Notes': ['Peony', 'Lily-of-the-Valley', 'Rose', 'Honeysuckle'], 'Base Notes': ['Musk', 'Cedar']}|for women and men|3.08|2.00|{'rating': 4.1, 'votes': 1674}|Winter: 13.6774%, Spring: 100%, Summer: 88.9032%, Fall: 24.5161%|Day: 95.3548%, Night: 13.2903%|['None']|Burberry Her Eau de Toilette by Burberry is a Floral Fruity fragrance for women. This is a new fragrance. Burberry Her Eau de Toilette was launched in 2022. Top notes are Pear, Strawberry, Black Currant and Pink Pepper; middle notes are Peony, Lily-of-the-Valley, Rose and Honeysuckle; base notes are Musk and Cedar. |https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000595.jpg
Marc Jacobs|Daisy Ever So Fresh Woman Edp|['fruity', 'sweet', 'tropical', 'citrus', 'white floral', 'woody']|{'Top Notes': ['Mango', 'Pineapple', 'Mandarin Orange'], 'Middle Notes': ['Orange Blossom', 'Rose Water'], 'Base Notes': ['Cashmere Wood']}|for women and men|2.62|1.85|{'rating': 3.89, 'votes': 714}|Winter: 5.57276%, Spring: 77.0898%, Summer: 100%, Fall: 13.9319%|Day: 90.4025%, Night: 13.9319%|['None']|Daisy Ever So Fresh by Marc Jacobs is a Floral fragrance for women. This is a new fragrance. Daisy Ever So Fresh was launched in 2022. Top notes are Mango, Pineapple and Mandarin Orange; middle notes are Orange Blossom and Rose Water; base note is Cashmere Wood. |https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/m/j/mja_dsy_evsf_22_edp_125ml.psd-jpg-300dpi.jpg
Calvin Klein|Eternity Intense Woman Edp|['iris', 'powdery', 'woody', 'earthy', 'vanilla', 'floral', 'musky', 'violet', 'fruity']|{'Top Notes': ['Orris', 'Watery Notes', 'Bergamot'], 'Middle Notes': ['Iris', 'Osmanthus', 'Rose'], 'Base Notes': ['Vanilla', 'Musk', 'Sandalwood']}|for women and men|2.97|2.27|{'rating': 3.83, 'votes': 584}|Winter: 68.984%, Spring: 75.4011%, Summer: 33.1551%, Fall: 100%|Day: 91.4439%, Night: 51.3369%|['None']|"Eternity Intense by Calvin Klein is a Floral fragrance for women. Eternity Intense was launched in 2016. Top notes are Orris, Watery Notes and Bergamot; middle notes are Iris, Osmanthus and Rose; base notes are Vanilla, Musk and Sandalwood. Calvin Klein's Eternity (1988) and Eternity for Men (1989), symbols of eternal love and romantic relationships, will receive new intensive reinterpretations Eternity Intense and Eternity for Men Intense in December 2016. The new fragrances are made with a touch of ""sensual and rare"" iris flower. The Eternity Intense duo represents ""love that has turned into something more powerful -  a passionate and unbreakable connection."" Eternity Intense for women reportedly intensifies the opulent floral composition of the originals, with energetic aquatic and additional floral notes. Iris gives it elegance and power, laid on the warm base of vanilla. Model Christy Turlington and her husband Ed Burns are chosen again to represent the line. Eternity Intense is available as a 30 and 50 ml Eau de Parfum."|https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/3/6/3616303549732_cak_etw_edpintense_22_100ml_bottle.psd-jpg-300dpi.jpg
Gucci|Flora Gorgeous Jasmine Woman Edp|['citrus', 'white floral', 'floral', 'woody', 'fresh spicy', 'warm spicy', 'amber', 'rose']|{'Top Notes': ['Italian Mandarin', 'Bergamot', 'Black Pepper'], 'Middle Notes': ['Jasmine', 'Jasmine Sambac', 'Magnolia', 'Damask Rose'], 'Base Notes': ['Benzoin', 'Australian Sandalwood', 'Patchouli']}|for women and men|2.88|1.95|{'rating': 3.8, 'votes': 2142}|Winter: 15.9827%, Spring: 100%, Summer: 74.946%, Fall: 30.8855%|Day: 91.1447%, Night: 21.7063%|['Alberto Morillas']|"Flora Gorgeous Jasmine by Gucci is a Floral fragrance for women. This is a new fragrance. Flora Gorgeous Jasmine was launched in 2022. The nose behind this fragrance is Alberto Morillas. Top notes are Italian Mandarin, Bergamot and Black Pepper; middle notes are Jasmine, Jasmine Sambac, Magnolia and Damask Rose; base notes are Benzoin, Australian Sandalwood and Patchouli. Gucci Flora Gorgeous Jasmine Eau de Parfrum bursts with a radiant composition led by Grandiflorum Jasmine. Tender wreaths of noble Jasmine are transformed through extraction into the heart and spirit of Gucci Flora Gorgeous Jasmine, resulting in an enlightened expression of this precious flower. Blended with base notes of Sandalwood and Benzoin, its sensual notes create a skin imprint unique to the wearer. Its energy of inner joy is further lifted with notes of Mandarine Essence and Magnolia Accord, which infuse the scent with a joyful feeling. Reimagined in Alessandro Michele’s vision, the House’s distinctive Flora pattern seals the design with a magical touch, fortifying Gucci Flora Gorgeous Jasmine as an object of inspiration. Encased within a new, elongated bottle, crafted from lacquered turquoise stone glass featuring a shiny gold cap. The packaging features a new take on the House’s distinctive Flora pattern, first created by artist and illustrator Vittorio Accornero for Gucci in 1966."|https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/0/0031031000037.jpg
Davidoff|Cool Water Reborn Woman Edp|['rose', 'aromatic', 'woody', 'citrus', 'earthy', 'floral', 'fresh spicy', 'green']|{'Top Notes': [], 'Middle Notes': [], 'Base Notes': []}|for women and men|3.00|1.91|{'rating': 3.93, 'votes': 54}|Winter: 20.6897%, Spring: 89.6552%, Summer: 86.2069%, Fall: 55.1724%|Day: 100%, Night: 41.3793%|['None']|Cool Water Reborn for Her by Davidoff is a Floral Aquatic fragrance for women. This is a new fragrance. Cool Water Reborn for Her was launched in 2022. |https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/0/0031031000024_7.jpg
Elizabeth Arden|White Tea Edp|['aromatic', 'green', 'musky', 'marine', 'fresh', 'soft spicy', 'amber', 'fresh spicy', 'citrus', 'powdery']|{'Top Notes': ['Clary Sage', 'Sea Notes', 'Italian Mandarin'], 'Middle Notes': ['White Tea', 'Mate', 'Rose Water', 'Jasmine'], 'Base Notes': ['Musk', 'Amberwood', 'Tonka Bean']}|for women and men|2.95|1.87|{'rating': 4.06, 'votes': 243}|Winter: 36.6071%, Spring: 100%, Summer: 93.75%, Fall: 58.0357%|Day: 94.6429%, Night: 26.7857%|['Rodrigo Flores-Roux']|"White Tea Eau de Parfum by Elizabeth Arden is a Floral Woody Musk fragrance for women. This is a new fragrance. White Tea Eau de Parfum was launched in 2022. The nose behind this fragrance is Rodrigo Flores-Roux. Top notes are Clary Sage, Sea Notes and Italian Mandarin; middle notes are White Tea, Mate, Rose Water and Jasmine; base notes are Musk, Amberwood and Tonka Bean. Elizabeth Arden presents White Tea as an aroma of simple joys and private pleasures; the fragrance encourages a sense of well-being in its wearer. A deeper concentration of the fragrance, White Tea Eau de Parfum comes out in 2022 composed by Rodrigo Flores-Roux. It is crafted using VivaScentz™ technology which harmonizes key White Tea notes into perfect balance, At its heart is rose, both in forms of rose oil and upcycled rose water, as well as hand-harvested mate leaves from South America which lend a fresh, herbal tea signature. It’s rounded out by Venezuelan tonka bean, amberwood and a trio of musks. Avaialble as a 30, 50 and 100 ml EDP. "|https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/3/0310000000102.jpg
Escada|Chiffon Sorbet Woman Edt|['fruity', 'sweet', 'woody', 'powdery', 'musky', 'tropical', 'amber', 'animalic']|{'Top Notes': ['Red Apple', 'Raspberry', 'Mango', 'Black Currant'], 'Middle Notes': ['Fig', 'Orchid', 'Jasmine', 'Violet', 'Rose'], 'Base Notes': ['Musk', 'Ambergris', 'Cedarwood', 'Vanilla', 'Sandalwood']}|for women and men|2.48|1.61|{'rating': 3.8, 'votes': 65}|Winter: 8.33333%, Spring: 70.8333%, Summer: 100%, Fall: 29.1667%|Day: 87.5%, Night: 20.8333%|['Alexandra Carlin']|Chiffon Sorbet Eau de Toilette by Escada is a fragrance for women. This is a new fragrance. Chiffon Sorbet Eau de Toilette was launched in 2023. The nose behind this fragrance is Alexandra Carlin. Top notes are Red Apple, Raspberry, Mango and Black Currant; middle notes are Fig, Orchid, Jasmine, Violet and Rose; base notes are Musk, Ambergris, Cedarwood, Vanilla and Sandalwood. |https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/3/6/3616304203626_2.jpg
Chloe|Nomade Jasmin Naturelle Woman Edp|['sweet', 'woody', 'white floral', 'citrus', 'vanilla', 'powdery', 'fruity', 'fresh spicy', 'aromatic', 'warm spicy']|{'Top Notes': ['Bergamot', 'Jasmine'], 'Middle Notes': ['Dates'], 'Base Notes': ['Sandalwood', 'Vanilla']}|for women and men|2.33|1.67|{'rating': 4.25, 'votes': 12}|Winter: 50%, Spring: 50%, Summer: 50%, Fall: 100%|Day: 100%, Night: 50%|['Caroline Dumur']|"Nomade Jasmin Naturel by Chloé is a Oriental Floral fragrance for women. This is a new fragrance. Nomade Jasmin Naturel was launched in 2023. The nose behind this fragrance is Caroline Dumur. Top notes are Bergamot and Jasmine; middle note is Dates; base notes are Sandalwood and Vanilla. Chloé reinvents its free-spirited Nomade fragrance in this 100% natural-origin Eau de Parfum. Reflecting a quest for freedom and new encounters, the radiant, feminine fragrance celebrates the merging of cultures. Nomade Eau de Parfum Jasmin Naturel centers on a gourmand jasmine heart. The essence of bergamot bursts through, while a smooth date accord complements the irresistible radiance of Egyptian jasmine absolute. Vanilla and sandalwood weave a warm, addictive base. This vegan, 100% natural-origin Eau de Parfum contains no artificial coloring. It is formulated with naturally derived alcohol and water—nothing else. The main ingredient, jasmine, is harvested in Egypt based on responsible practices. The emblematic Nomade bottle is reinvented in ocher tones inspired by nature. A braid, tied around the neck of the bottle, represents the bonds woven through travel and ongoing encounters. This symbolic motif is also engraved in the glass."|https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000936_12.jpg
Laura Biagiotti|Aqve Romane Divinium Ficus Woman Edt|['aromatic', 'green', 'fresh spicy', 'woody', 'powdery', 'fruity', 'citrus']|{'Top Notes': ['Green Pepper', 'Basil', 'Mint', 'Bergamot'], 'Middle Notes': ['Fig', 'Artichoke', 'Laurels', 'Caper'], 'Base Notes': ['Sandalwood', 'Cedar', 'Musk']}|for women and men|3.00|1.92|{'rating': 3.84, 'votes': 31}|Winter: 33.3333%, Spring: 100%, Summer: 100%, Fall: 66.6667%|Day: 100%, Night: 41.6667%|['Suzy Le Helley']|"Divinum Ficus by Laura Biagiotti is a fragrance for women. This is a new fragrance. Divinum Ficus was launched in 2024. The nose behind this fragrance is Suzy Le Helley. Top notes are Green Pepper, Basil, Mint and Bergamot; middle notes are Fig, Artichoke, Laurels and Caper; base notes are Sandalwood, Cedar and Musk. Divinum Ficus fragrance is a refreshing and aromatic symphony that begins with invigorating top notes of basil, mint, green pepper, and bergamot. The combination of these elements creates a lively and herbaceous opening, reminiscent of a lush garden in full bloom. As the scent develops, it transitions into a unique and intriguing heart where the earthy sweetness of artichoke and fig mingles with the crisp freshness of laurels and the subtle tanginess of caper. This middle phase adds depth and complexity to the fragrance, evoking images of sun-drenched Mediterranean landscapes. Finally, the scent settles into a warm and comforting base, where the smooth richness of cedar and sandalwood is complemented by the soft sensuality of musk. Overall, this fragrance is a sophisticated blend of herbal, fruity, and woody accords, creating a versatile and captivating olfactory experience. Top notes: Italian Bergamot Oil, Royal Green Pepper, Cornmint Oilmin, Imperial Basil. Heart notes: Divine Fig, Roman Artichoke, Nobilis Laurel, Ancient Caper Berries. Base Note: Musk, Cedarwood Oil, Sandalwood."|https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/8/0/8059084001863_2.jpg
Dsquared2|Red Pour Femme Edt|['fruity', 'woody', 'musky', 'rose', 'floral', 'tropical', 'powdery', 'amber', 'fresh spicy', 'fresh']|{'Top Notes': ['Cranberry', 'Pink Pepper'], 'Middle Notes': ['Litchi', 'Rose', 'Magnolia'], 'Base Notes': ['Musk', 'Cedar', 'Amberwood']}|for women and men|2.98|2.25|{'rating': 3.54, 'votes': 701}|Winter: 31.5175%, Spring: 87.5486%, Summer: 79.3774%, Fall: 68.8716%|Day: 100%, Night: 26.8482%|['Olivier Cresp']|Red Wood by DSQUARED² is a Floral Fruity fragrance for women. Red Wood was launched in 2019. The nose behind this fragrance is Olivier Cresp. Top notes are Cranberry and Pink Pepper; middle notes are Litchi, Rose and Magnolia; base notes are Musk, Cedar and Amberwood. |https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302001044.jpg
Moschino|Fresh Gold Couture Woman Edp|['fruity', 'sweet', 'powdery', 'vanilla', 'woody', 'tropical', 'citrus', 'green', 'fresh', 'aquatic']|{'Top Notes': ['Pear', 'Mango', 'White Peach', 'Rhubarb Leaf', 'Mandarin Orange', 'Grapefruit'], 'Middle Notes': ['Orchid', 'Jasmine', 'Lily-of-the-Valley'], 'Base Notes': ['Vanilla', 'Musk', 'Akigalawood', 'Sandalwood', 'Patchouli']}|for women and men|3.34|2.39|{'rating': 3.91, 'votes': 1475}|Winter: 42.4399%, Spring: 82.6461%, Summer: 79.7251%, Fall: 73.1959%|Day: 100%, Night: 48.9691%|['None']|Gold Fresh Couture by Moschino is a Floral Fruity fragrance for women. Gold Fresh Couture was launched in 2017. Top notes are Pear, Mango, White Peach, Rhubarb Leaf, Mandarin Orange and Grapefruit; middle notes are Orchid, Jasmine and Lily-of-the-Valley; base notes are Vanilla, Musk, Akigalawood, Sandalwood and Patchouli. |https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000516.jpg
Burberry|My Burberry Black Woman Edp|['amber', 'patchouli', 'fruity', 'rose', 'woody', 'white floral', 'warm spicy', 'powdery', 'earthy', 'sweet']|{'Top Notes': ['Jasmine'], 'Middle Notes': ['Peach', 'Rose'], 'Base Notes': ['Amber', 'Patchouli']}|for women and men|3.93|2.85|{'rating': 4.02, 'votes': 3660}|Winter: 97.0769%, Spring: 30.7692%, Summer: 13%, Fall: 100%|Day: 53.2308%, Night: 98.3077%|['Francis Kurkdjian']|My Burberry Black by Burberry is a Oriental Floral fragrance for women. My Burberry Black was launched in 2016. The nose behind this fragrance is Francis Kurkdjian. Top note is Jasmine; middle notes are Peach and Rose; base notes are Amber and Patchouli. In addition to the new edition for men, a new, sensual flanker My Burberry Black also comes out in 2016. The new Eau de Toilette contains notes of jasmine at the top, with the heart of candied roses and peach nectar, and the base of amber and patchouli.|https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000894.jpg
Gucci|Guilty Woman Edt|['floral', 'soft spicy', 'fruity', 'sweet', 'patchouli', 'fresh', 'citrus', 'amber', 'fresh spicy', 'musky']|{'Top Notes': ['Pink Pepper', 'Mandarin Orange', 'Bergamot'], 'Middle Notes': ['Lilac', 'Peach', 'Geranium', 'Jasmine', 'Black Currant'], 'Base Notes': ['Patchouli', 'Amber', 'White Musk', 'Vanilla']}|for women and men|3.07|2.24|{'rating': 3.9, 'votes': 9537}|Winter: 79.6687%, Spring: 63.3126%, Summer: 34.9068%, Fall: 100%|Day: 90.1035%, Night: 98.9234%|['Aurélien Guichard']|"Gucci Guilty by Gucci is a Oriental Floral fragrance for women. Gucci Guilty was launched in 2010. The nose behind this fragrance is Aurélien Guichard. Top notes are Pink Pepper, Mandarin Orange and Bergamot; middle notes are Lilac, Peach, Geranium, Jasmine and Black Currant; base notes are Patchouli, Amber, White Musk and Vanilla. Guilty is the orienal floral Gucci fragrance that is presented on the market in September 2010. It is designed for the glamorous, daring, brave, and very sexy girls who like to party and enjoy themselves. The face of the advertising campaign is Evan Rachel Wood, singer and actress. Gucci Guilty contains the notes of mandarin, pink pepper, peach, lilac, geranium, amber and patchouli. Available as 30, 50 and 75 ml EDT."|https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000585.jpg
Ysl|Black Opium Neon Woman Edp|['white floral', 'citrus', 'coffee', 'vanilla', 'tropical', 'fruity', 'warm spicy', 'sweet', 'powdery', 'floral']|{'Top Notes': ['Pitahaya', 'Mandarin Orange', 'Citron'], 'Middle Notes': ['Orange Blossom', 'Coffee', 'Jasmine Sambac'], 'Base Notes': ['Vanilla', 'Musk']}|for women and men|3.21|2.32|{'rating': 3.83, 'votes': 1179}|Winter: 88.806%, Spring: 66.4179%, Summer: 37.3134%, Fall: 100%|Day: 80.597%, Night: 94.2786%|['Olivier Cresp']|Black Opium Neon by Yves Saint Laurent is a Oriental Vanilla fragrance for women. Black Opium Neon was launched in 2019. The nose behind this fragrance is Olivier Cresp. Top notes are Pitahaya, Mandarin Orange and Citron; middle notes are Orange Blossom, Coffee and Jasmine Sambac; base notes are Vanilla and Musk. |https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000138.jpg
Moschino|Fresh Couture Woman Edt|['citrus', 'floral', 'fruity', 'fresh', 'woody', 'sweet', 'rose', 'fresh spicy', 'yellow floral', 'amber']|{'Top Notes': ['Bergamot', 'Mandarin Orange', 'Ylang-Ylang'], 'Middle Notes': ['Peony', 'Raspberry', 'Osmanthus'], 'Base Notes': ['Ambroxan', 'Woodsy Notes', 'Patchouli']}|for women and men|2.78|2.12|{'rating': 3.43, 'votes': 2150}|Winter: 11.4856%, Spring: 70.9114%, Summer: 96.8789%, Fall: 15.8552%|Day: 100%, Night: 11.985%|['Alberto Morillas']|"Fresh Couture by Moschino is a Floral Fruity fragrance for women. Fresh Couture was launched in 2015. The nose behind this fragrance is Alberto Morillas. Top notes are Bergamot, Mandarin Orange and Ylang-Ylang; middle notes are Peony, Raspberry and Osmanthus; base notes are Ambroxan, Woodsy Notes and Patchouli. The second fragrance by Moschino under the creative director Jeremy Scott (the first one being Toy from 2014) comes out in October 2015 under the name Moschino Fresh Couture, inspired by the spring 2016 fashion collection. “The concept for this fragrance was to juxtapose the most mundane and commonplace of all products, the household cleaner, with something so precious - the juice of a luxury brand’s fragrance. Taking the iconography of a bottle that has no aspirational value and using it as the inspiration for a vessel to contain something so luxurious and haute couture, creates the ultimate dichotomy of high and low. What could be more Moschino than that?” A surprising and ironic product, Fresh Couture fragrance plays with fresh and joyful accents. Its sparkling top notes of mandarin and bergamot are enriched with exotic ylang-ylang. Juicy raspberry provides contrast to the floral heart of velvety white peony and osmanthus. The base underscores refined and modern character of the perfume with accords of clear woods, white patchouli and ambrox. The face of the campaign shot by Steven Meisel is a supermodel Linda Evangelista. The fun and ironic bottle is designed in the form of a cleaning product. It is housed in an elegant coffret made of fine materials , including a touch of golden detailing. The fragrance is available as 30, 50 and 100 ml Eau de Toilette."|https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000514.jpg
